dataset,rtimeinst,rtime3,rtime2000
qt,66.235352,22.078451,0.039396
qt,81.819462,27.273154,0.046934
qt,7.509038,2.503013,0.00451
qt,77.28766,25.762553,0.044358
qt,66.03853,22.012843,0.038817
qt,79.600689,26.533563,0.046222
qt,138.984562,46.328187,0.076198
qt,56.985166,18.995055,0.032702
qt,85.935743,28.645248,0.048085
qt,60.355928,20.118643,0.035513
qt,84.282086,28.094029,0.048067
qt,75.802891,25.26763,0.04331
qt,79.948861,26.64962,0.044821
qt,74.034882,24.678294,0.042465
qt,44.508185,14.836062,0.026722
qt,61.211855,20.403952,0.035291
qt,101.910798,33.970266,0.054094
qt,81.929757,27.309919,0.045819
qt,67.238418,22.412806,0.038069
qt,72.242764,24.080921,0.041396
qt,60.889101,20.296367,0.035902
qt,67.495019,22.49834,0.039046
qt,7.89831,2.63277,0.004754
qt,77.411429,25.80381,0.043643
qt,66.038026,22.012675,0.037957
qt,61.799369,20.59979,0.035385
qt,66.369262,22.123087,0.037459
qt,68.682006,22.894002,0.039921
qt,65.702982,21.900994,0.037508
qt,68.193266,22.731089,0.040203
qt,84.341414,28.113805,0.047984
qt,80.588463,26.862821,0.046877
qt,77.518683,25.839561,0.043334
qt,39.643317,13.214439,0.023199
qt,73.038413,24.346138,0.040823
qt,56.883285,18.961095,0.032955
qt,7.418218,2.472739,0.00443
qt,35.617243,11.872414,0.020158
qt,73.283633,24.427878,0.04299
qt,61.30162,20.433873,0.036193
qt,69.762242,23.254081,0.040439
qt,52.405519,17.468506,0.031022
qt,66.049434,22.016478,0.038725
qt,60.299546,20.099849,0.034131
qt,110.769175,36.923058,0.056775
qt,63.922797,21.307599,0.037386
qt,70.00705,23.335683,0.041238
qt,97.733669,32.57789,0.059113
qt,51.795956,17.265319,0.031082
qt,41.40743,13.802477,0.024878
qt,34.5831,11.5277,0.021737
qt,93.144119,31.04804,0.053531
qt,48.422584,16.140861,0.027845
qt,34.728538,11.576179,0.020559
qt,95.002814,31.667605,0.052631
qt,104.062555,34.687518,0.055534
qt,70.557176,23.519059,0.039654
qt,145.307899,48.435966,0.085839
qt,69.96921,23.32307,0.040303
qt,56.421565,18.807188,0.03291
qt,71.204928,23.734976,0.041106
qt,65.468961,21.822987,0.03969
qt,49.745723,16.581908,0.029335
qt,76.125937,25.375312,0.043237
qt,69.901874,23.300625,0.03976
qt,74.726418,24.908806,0.042135
qt,60.560583,20.186861,0.034649
qt,74.091529,24.697176,0.042023
qt,65.4498,21.8166,0.038296
qt,8.542259,2.84742,0.004691
qt,8.324462,2.774821,0.004953
qt,73.808829,24.602943,0.042739
qt,77.984326,25.994775,0.045007
qt,66.043337,22.014446,0.03823
qt,75.430566,25.143522,0.043684
