dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
qt,19.261107,0.093049,246.833213,0.860046
qt,16.682634,0.089212,158.624312,0.570591
qt,30.788305,0.166423,238.070368,0.979713
qt,2.161391,0.039298,43.715255,0.412408
qt,24.30642,0.194451,206.480932,1.116113
qt,32.060005,0.241053,210.721766,1.317011
qt,110.208134,0.529847,310.867416,1.142895
qt,46.418565,0.276301,230.691575,1.083059
qt,29.504591,0.23794,222.287984,1.339084
qt,10.351586,0.141803,76.477547,0.676792
qt,0.260503,0.052101,2.364993,0.102826
qt,55.22312,0.303424,350.093916,1.691275
qt,2.433836,0.021926,47.444748,0.238416
qt,13.344451,0.12709,125.835938,0.886169
qt,26.07424,0.140184,260.325629,1.245577
qt,0.04038,0.04038,0.765144,0.05101
qt,13.43552,0.129188,135.668138,0.775247
qt,34.862785,0.112461,320.492935,0.728393
qt,20.570102,0.247833,121.846712,1.087917
qt,13.521252,0.187795,119.030171,1.026122
qt,22.158266,0.21306,131.130571,0.923455
qt,2.548389,0.020066,48.612703,0.234844
qt,22.342818,0.223428,146.810241,0.785082
qt,2.009484,0.021607,49.513865,0.287871
qt,13.056067,0.057516,97.119816,0.34318
qt,73.049877,0.18974,446.224707,1.104517
qt,21.38953,0.163279,168.770625,0.922244
qt,23.792614,0.18883,132.35841,0.6585
qt,34.040517,0.276752,165.912302,1.01166
qt,0.517913,0.057546,6.384415,0.30402
qt,4.365433,0.072757,43.049579,0.426233
qt,15.262656,0.052995,133.576325,0.360044
qt,0.842927,0.07663,8.055389,0.309823
qt,20.872573,0.132105,162.104368,0.72368
qt,17.971318,0.09169,208.417113,0.699386
qt,6.619453,0.108516,42.669167,0.52678
qt,54.665723,0.167686,445.172315,1.240034
qt,12.474083,0.111376,138.420094,0.935271
qt,21.649848,0.18826,190.335246,1.359537
qt,70.210468,0.184764,366.600104,0.891971
qt,38.943359,0.198691,226.166869,1.130834
qt,50.37607,0.220948,249.508355,0.998033
qt,25.594354,0.236985,174.123458,1.102047
qt,22.836656,0.171704,188.786883,0.993615
qt,31.326828,0.18986,283.268129,1.483079
qt,41.455625,0.151298,298.174074,0.814683
qt,17.908208,0.130717,178.235192,1.036251
qt,19.10152,0.251336,109.855276,1.046241
qt,0.038757,0.038757,0.97653,0.065102
qt,12.826968,0.043928,120.030445,0.354072
qt,15.439661,0.141648,113.002816,0.715208
qt,30.959985,0.236336,178.398886,1.025281
qt,9.496325,0.080477,86.069857,0.478166
qt,62.946945,0.406109,230.685837,1.233614
qt,61.987931,0.364635,426.368911,1.870039
qt,36.520358,0.274589,212.396196,1.021136
qt,26.241784,0.12927,274.386368,0.962759
qt,2.673946,0.023663,50.194411,0.269862
qt,0.658348,0.050642,5.784832,0.214253
qt,12.164641,0.119261,168.279815,1.038764
qt,58.841091,0.184455,431.125144,1.162062
qt,10.053546,0.0426,108.051046,0.377801
qt,0.323945,0.046278,3.804204,0.135864
qt,93.091337,0.351288,496.921488,1.701786
qt,2.188104,0.022102,39.714912,0.236398
qt,12.677966,0.102242,123.37607,0.663312
qt,7.13409,0.097727,70.373067,0.622771
qt,60.411861,0.291845,272.20747,1.231708
qt,19.295265,0.048725,189.023622,0.340583
qt,15.606898,0.049546,129.315343,0.356241
qt,11.766876,0.116504,131.858949,0.969551
qt,75.521184,0.185101,438.362962,0.894618
qt,0.805734,0.033572,10.352982,0.215687
qt,12.655898,0.03679,147.855999,0.346267
qt,10.778745,0.03617,115.161885,0.329977
qt,44.716629,0.256992,276.212774,1.249832
qt,55.319842,0.196868,438.008012,1.203319
qt,1.808227,0.022889,37.697896,0.256448
